text;sentiment
Thank YOU Neil! Brightened my day, and I’m sure many others! Keep up the great work @ BitchinGlasses @ TTChelps @ bradTTC # TTC # TheTripperhttps://twitter.com/bitchinglasses/status/946737868340432896 …;1
About 15 minutes ago I saw part of a violent interaction on the platform at Bathurst Station. I'm still shaking. Big thanks to # ttc crew and @ TorontoPolice for their calm handling of the situation and to all the witnesses who shared what they saw with the police. Scary stuff.;1
# TTC is beautiful # Toronto # photography cc @ bradTTCpic.twitter.com/xqnaXSDyeG – bei Lawrence Subway Station;1
Lovely subway station. # dupontstation # ttc # mosaic @Toronto, Ontario https://www.instagram.com/p/BdRbHObnZzS/;1
What a wonderful story! A donated # TTC bus will be outfitted with showers and laundry facilities for # Toronto's homelesshttp://ow.ly/n9sa30hlZri;1
Often see @ TTChelps bus drivers testing out the accessible ramp before starting their route not sure if that’s a standard procedure but haven’t seen it done anywhere else # accessibility # TTC # transit;1
Big shout out and thanks to the 79B bus driver who saw me at the lights and waited until I got to # TTC bus stop to pick me up. @ ttchelps # niceguy # frigidtemp;1
Great work by @ TTChelps operator who found Mr. Ascenzi in a bus shelter ! # TTC operators are our eyes and ears in keeping community and transit safe ! https://twitter.com/NEWSTALK1010/status/946152441849856000 …https://twitter.com/NEWSTALK1010/status/946152441849856000 …;1
Almost lost this guy on a 510 Southbound Streetcar. Got on the next car, explained my plight to the next driver. Long story short, the # TTC undertook a coordinated effort and reunited me with my glove Thanks TTC, the better way indeed! @ TTCnotices @ TTCingpic.twitter.com/nAhyLbf8JK;1
How is it possible that after years of planning, scores of people working on it, and $500K spent, only now has # TTC figured out that crowd-sourced content would obviously lead to abuse? TTC won't use subway word-art installation over fear of hate speech https://www.theglobeandmail.com/news/toronto/ttc-turns-the-lights-out-on-subway-word-art-installation/article37427145/ …;1
# TTC # Subway # Promo http://www.musemassagespa.com The better way to MUSE! # BothLocationsNowSubwayAccessiblepic.twitter.com/VwuCTPMpJW;1
Driving is usually 1/2 or 1/3 the length of a # TTC trip. It sucks, but taking the subway/streetcar/bus is affordable, and the trip can be part of a memorable journey ( # GreatThingsThatHappenedOnTransit). So I don't understand the outrage.https://twitter.com/iamdavidmiller/status/944732466362961920 …;1
I, too, so appreciate # TTC folks showing up for us today. All the best.;1
@ TTChelps Thank you to all the # TTC drivers for getting me around town today.;1
Thanks to the people at the # TTC working today! We got to our family dinner quickly and safely. @ TTChelpspic.twitter.com/5BVpYG1WHF;1
"Merry Christmas & thanks to the # TTC staff working today to get us where we're going; be it work, parties or whatever. You rock! @ ttchelps";1
I may gripe about # TTC but have to say it's pretty fantastic that, thanks to # bluenightbus I can take public transit all the way across the city to the airport on Christmas Day. # MerryXmas # ThankYou @ TTCnotices;1
Merry Christmas and happy holidays to my 504 streetcar driver. Thank you for driving tonight when I didn't want to... thanks for giving up time with your family so I could see mine. # grateful # TTC;1
It is hecking snowing out, and I just want to say thanks to all the # TTC employees who are working today and tomorrow.;1
When it's snowing and getting slushy or icy, nowhere I'd rather be than on a big solid safe steady streetcar. # ttc;1
Thank you @ TTCnotices for the Christmas display at Bloor. It is definitely a must see every year. # ttc # Christmas;1
@ TTChelps the happy holidays singing train crew on the morning line 2 train is the best thing ever # holidayseason # Christmas # ttc # toronto;1
Kudos to # ttc operator of the train with car 5115 for preaching compassion and patience during a difficult commute. @ TTChelps;1
# TTC fabulous Comms team at # Line1Ext Opening - the force was with them ! @ TTCStuart @ CherynThoun @ bradTTC # subway # transitpic.twitter.com/XPtijf5Ncg;1
VIDEO: # TTC # Line1Ext Opening Weekend - look at all those smiling faces! https://youtu.be/RWnrLJZiWRI @ TTChelps @VMC_Vaughan @ GOtransit @ vivaNext # subway # transit;1
A # TTC driver in bus 5A #1368 took the mic this morning: “Dear Passengers! I have a special announcement to make. I wish you a merry Christmas, I wish you a merry Christmas, I wish you a merry Christmas and a Happy New Year”! @ TTChelps @ TTCnotices;1
@ TTChelps driver of bus #8825 100A to don mills and wynford is so into the Christmas sprit dressing as Santa) love it!!! # ttc # Christmas # ChristmasSprit;1
Entering the new @ TTChelps 407 subway station like.... . Easy commute to downtown for this suburbanite . # TTC # newsubway # highway407station # Toronto # Vaughanpic.twitter.com/I6zKoI0CWe;1
Bus 1384 # LibertyVilliage # TTC @ TTChelps the driver was spectacular,wonderful&awesome this afternoon. Seems some of the best drivers have that route. Thanks :);1
Blessings to the extremely patient # TTC 123 Shorncliffe Bus driver who just endured the presence of a very nasty older female passenger. She had the driver in her sights and didn't shut up. Lady was fully wrapped up in her own dialogue. @ TTChelps;1
Another great # TTC driver, who greets people as well as helps others who are in need very well. Thank you Sir very much! 199A towards Finch Station, Bus #: 1251. @ TTChelps @ TTCnotices;1
Unsung Heroes of # Line1Ext # TTC # AutomaticTrainControl # signals # systems group - travelling incognito on opening day! Fantastic new ATC system - improving reliability http://www.railwayage.com/index.php/passenger/rapid-transit/ttc-line-1-extension-opens.html?channel=62 … @ bradTTC @ TTCStuart @ TTChelpspic.twitter.com/OabUE4nrXT;1
# Highway407 # parking packed on second weekday - working on improving signage to direct # TTC customers to # PioneerVillage http://www.ttc.ca/Spadina/About_the_Project/Parking.jsp … @ bradTTCpic.twitter.com/Fj2tW0oOly;1
# TTC # Line1Ext is changing commutes & lives - connecting people to family, friends - saving time commuting - I am getting tweets, emails, stories - lots of positive change... @ TTChelps @ bradTTCpic.twitter.com/QqFij9ocd2;1
Kudos to the 8107, # ttc bus driver this morning. He was amazing. # ttchelps give this guy a raise! He was a DJ on the mic. Telling people to take off their backpacks, have a whole speech when we arrived at Warden.;1
Had another awesome # ttc driver today on the 95a bus number 1099 who makes sure this passengers get into there seats before driving off! @ TTChelps # StayPositive thank you!;1
@ TTChelps please forward my # gratitude to the # Ttc peeps for providing a # freettcday - it made running errands so much easier not having to worry about transfers Can this be an annual thing around this time???;1
Opening of Line 1. Big thanks # TTC @ bradTTC for extending and more easier travel to the following new stations.pic.twitter.com/oQR1oJHJFl;1
T’was a good day! Thanks for the free rides today # ttc! Christmas shopping done! @ TTChelps @ TTCnotices;1
Thanks @ TTCnotices @ TTChelps @ TorontoComms - free rides The Better Way! # TTC # toronto # the6ix @ JohnTory;1
@ TTChelps The very idea of implementing complementary rides all day in winter speaks volumes about @ TTCnotices as an organization. Way to go! Congratulations @ bradTTC Hoping for a well interlinked city! # TTC;1
Heads up Toronto friends! # TTC is free today for Spadina expansion. Enjoy the free rides! Thanks @ TTChelps;1
I had a nice day riding the new subway extension. Love the little gifts being handed out along the way! Thanks @ TTChelps @ YRTViva @ Metrolinx! # TTC # Line1Extpic.twitter.com/tad0vdp3tC;1
Apart from dead escalators at some stations the new stations are awesome.. # Line1Ext # TTC # TTC free # ttc @ TTChelps @ TTCnotices;1
I love my # TTC free! @ TTCnotices @ TTChelps Thanks!pic.twitter.com/HMJetBX6VN;1
# TTC # TYSSE Stop 3 another great station - look forward to seeing the art installation live @ TTChelps # adelaidesurbanadventurespic.twitter.com/oMxMDLg3QW;1
No fare today ! YAY .. Thank you ttc # TTC # thankyouttc @ TTChelps;1
All aboard for subway tour # TTC # TYSSE started @ # vaughanmetro @ TTChelps it was awesome # transit keep it coming 1/ tour continues... # adelaidesurbanadventurespic.twitter.com/5dAxEizlP0;1
Wooo thanks @ TTChelps This free # TTC ride is sure warming me up!! Love ya;1
Agreed @ bradTTC - outstanding work by @ jmsker & # TTC team. Thank you! https://twitter.com/bradTTC/status/942459051564298240 …;1
Next weekend Line 1 is closed from Sheppard West to Vaughan station for signal upgrades. # TTC @ TTCHelps;1
# TTC # FinchWest station looking good and busy opening day! # Line1Ext # TYSSE @ TTChelps @ bradTTCpic.twitter.com/5gSDHrJ4Ws;1
I'm going to hop on & off # Free # TTC today shopping & go see @ yorkuniversity station. Wish it had been open in 80s when I lived on campus for 4 yrs! Better late than never @ bradTTC Benefits of # slowcooker with dinner ready when I return this afternoon;1
Good morning # Toronto. Exciting day for the # TTC. # TEU will be out ensuring a # Transitsafe day. Remember to take lots of to capture the moments! @ TTChelps @ TTCnotices # transitfampic.twitter.com/OyfWUUKbnW;1
Hey T.O. families, as of 8am this morning the entire system is free today. # TTC @ TTCnotices https://buff.ly/2BzVpzy Thx @ StevenDelDuca @ JohnTory @ JoshColle @ bradTTC;1
@ TTChelps @ bradTTC @ TTCStuart @ TTCplanning Thanks to bus 1374 blue night bus today for waiting a few seconds to allow me to board. # TTC More bus drivers should be like this...;1
This is one hell of a stand-up move, # TTC , thank you! (No limited-seating puns intended.) @ TTChelps @ TTCnotices @ bradTTChttps://twitter.com/TTCnotices/status/942220359193059329 …;1
The TTC is free tomorrow! See you at church folks! # ttc @ TTChelpshttps://twitter.com/TTCnotices/status/942166227409145856 …;1
And this is what a # TTC # TYSSE subway station is for people! Very busy Open House today # FinchWest station! @ TTChelps @ TTCStuartpic.twitter.com/PFs3tflStx;1
All the best to you Mr Byford! # TTC # CEO @ TTCnotices @ TTChelps @ MTA # nycsubwaypic.twitter.com/Y9g42PuMZz;1
All TTC services will be FREE of charge for tomorrow in celebration of the Line 1 extension, so take advantage and use Transit to get around! @ bradTTC @ TTChelps # TTC # Line1ext;1
No one wants # TTC extension more than I. My final Thurs nite rushhour drive, midtown-YorkU yesterday was a nightmare. Construction backed up Ave Rd traffic from Eglinton all the way back to St. Clair. Slow on Lawrence and Finch after that. 50% longer than usual trip. @ TTChelps;1
To the 85 Sheppard East bus 9099 at 9:35 # ttc driver who saw me running 30 seconds late and didn't keep driving so I could get on the bus, # thankyou, you're awesome! @ TTChelps;1
Hey # ttc great bus driver today on 95c. Bus number 1765. Made an effort to greet ever customer and drives smoothly! @ TTChelps;1
Wow, what normally takes me 15 min to get home via subway # ttc took me 45 min. Great. # transitoftheyear GTFO @ ttc;1
Great news! # TOpoli # TTC https://twitter.com/neville_park/status/935627658188279808 …;1
@ TTChelps @ TTCnotices the driver of the 504 car 4177 on King at Jarvis right now is amazing. So friendly and entertaining. That man needs a raise # ttc # 504king # CustomerService;1
Nicely done, # TTC! https://twitter.com/bradTTC/status/935579354012274688 …;1
The # TTC Board just approved two hour time based transfers. Implementation August 2018 or sooner, depending on how quickly @ Metrolinx can rework the TTC's Presto software. # TOpoli # Toronto;1
Loving the @ TTChelps # TTC contest to get a # Line1ext preview ! Details at http://www.ttc.ca/Social_Media/Special_Preview_Ride_Contest.jsp … Only # 19days away!pic.twitter.com/jqHx50q2mG;1
Awesome Event! The # TTC is supporting @ ToyMountain ! This Saturday, Nov.25 betwn 10am-4pm - help fill a 100' long streetcar w/ unwrapped # toys 4 # kids. Queen Street & Kingston Road Santa will also be there! # Toronto # Transit # HolidaySpirit # GivingBack # ChildrenInNeedpic.twitter.com/TPDlOhOo1C;1
There was a true hero riding the # ttc last night @ TTChelps # notallheroeswearcapespic.twitter.com/mfo6PClwpj;1
Thank you # TTC driver of bus 1240, route 96 going east at Keele for purposefully pulling away from the right hand lane to avoid me;1
Cool to see the sign for the upcoming second exit at Wellesley Station. # ttc @ bradTTC @ Transit122 @ TTCsue @ kristynwongtampic.twitter.com/PSO3zkS2wy;1
Heaps of gratitude for the 505 streecar driver on right now - greeting everyone, vibe on his ride is fantastic. # ttc @ TTChelps;1
I like this, even though I live in # Etobicoke # GoTrain # TTC # Metrolinx # Onpolihttps://www.thestar.com/news/gta/transportation/2017/10/03/go-transit-users-to-get-half-price-fares-on-ttc.html …;1
Thx @ TTCnotices for pizza wednesdays! Always ready to donate to a great cause # UnitedWay # ttc;1
@ TTChelps Thanks for the info! # TTC https://twitter.com/ttchelps/status/915684337869295616 …;1
A long overdue yet welcome move as a frequent @ GOtransit user. # TTC # TOpoli # onpolihttps://twitter.com/CBCToronto/status/915540360167936000 …;1
AMAZING AND LONG OVERDUE: GO # Transit users to get half-price fares on # TTC https://www.thestar.com/news/gta/transportation/2017/10/03/go-transit-users-to-get-half-price-fares-on-ttc.html … via @ torontostar;1
Gr8 news for # mississauga and # GTA - price of # ttc cut 50% when you come from @ GOtransit using your @ PRESTOcard ! https://www.thestar.com/news/gta/transportation/2017/10/03/go-transit-users-to-get-half-price-fares-on-ttc.html …;1
Excited to hear @ GOtransit riders to get # ttc discount. At my 1st job out of school, I spent a 3rd of pay on transit commuting frm Markham;1
Impressed by the ttc staff. Someone was sick on the train, we pressed the alarm and they were there within a minute. # ttc;1
# Savings for # commuters who use both the GO # transit and the # TTC http://www.680news.com/2017/10/04/ttc-go-transit-co-fare-discount-coming-soon-report/ … # Toronto;1
This is huge # transit # TTC # presto https://www.thestar.com/amp/news/gta/transportation/2017/10/03/go-transit-users-to-get-half-price-fares-on-ttc.html …;1
Ran into # TTC CEO Andy Byford at LaGuardia Airport. Very friendly gent. pic.twitter.com/QnAmdKIokW;1
Thank you so much to the all the workers and passengers of the # ttc. Thanks to you I was able to find my wallet after losing it on the bus!;1
@ bradTTC # goodthings happen on the # ttc;1
@ bradTTC Lost precious art portfolio recovered 1hr20min later on # ttc bus 7525 at Canlish & Lawrence this am. TYSM to your driver & riders.;1
I find @ TTChelps does a better job accommodating cyclists than @ stminfo. At least half of # TTC stops have elevators. # BikeTO # VeloMTL;1
Wow, I'm inspired! Can't wait to see more! New # TTC stations integrate # art into # architecture /via @ globeandmailhttps://www.theglobeandmail.com/news/toronto/new-stations-of-long-awaited-ttc-subway-expansion-integrate-art-intoarchitecture/article36437285/?utm_medium=Referrer:+Social+Network+/+Media&utm_campaign=Shared+Web+Article+Links …;1
Poster on Bathurst bus stop promoting @ ttcriders ride for respect # ttc rally on tues. Nice! # TOpoli # onpolipic.twitter.com/Rj0JsKooKe;1
Sun's up!! . That's a wrap on another @ nuitblancheTO Thanks to my @ TTCnotices TEU members & other TTC staff for a safe night on the # TTC pic.twitter.com/qiMteNEr2r;1
The # ttc driver just complimented everyone for being on his streetcar awww;1
Pretty amazing # NuitBlanche this year. Lots of amazing exhibits. Props to the # ttc running all night. pic.twitter.com/a0CPvK6lqj;1
When the # ttc train has airconditioning # Torontopic.twitter.com/zINLWoOEh0;1
@ TTChelps bus driver on 75 south deserves good deed Friday got off bus to help visually impaired man to relocated stop! # goodthings # ttc;1
Thanks # TTC for the power nap before and after work, especially in Subway @ TTCnotices @ TTChelps;1
"We are Top 5 ! TTC has been named number two in the @ indeed list of Best Places to work in Canada! @ TTChelps # TTC # Toronto # jobs""";1
"@ ttchelps thanks to 72C northbound driver for his unbridled"" happiness this AM on bus 7830! Made my morning :) # ttc""";1
@ TTChelps, my boyfriend from Waterloo says one of his favourite things about Toronto is the # TTC! And he meant it # perspective;1
Thankful for the air conditioning on the @ TTCnotices subway # TTC # thankyou;1
Seems like # ttc is clearing subway passenger alarm delays much faster than they used to. True on avg, @ bradTTC? If so, well done!;1
They're making up for not having AC at all last year # ttc;1
Back in service is ALWAYS a good thing with # TTC elevators https://twitter.com/TTCnotices/status/891863915134676993 …;1
Too good, after the concert... they just let everyone on the subway without paying... the # ttc would have a fit ... # nyc # iloveithere;1
Did you know? Dogs can ride the # TTC on wknds + off peak hrs. weekdays. Oakley rode to # CherryBeach today! pic.twitter.com/KiexvkNndz;1
Shout out to the amazing @ TTChelps streetcar driver on the King car today who made my first ride with a stroller so great. THANK YOU # ttc;1
Fun at # summercamp today! Checking out the trains! # ttc # Autism @ TTChelpspic.twitter.com/B1vAMVtdtA;1
Big thanks to the super kind & understanding # ttc supervisor who helped me find my family at yonge and bloor yesterday! @ TTChelps;1
"You guys are the best passengers I've had on the 504 at 5:53pm on a Thursday in a week."" I like this guy a lot. # TTC @ TTChelps""";1
My friend who I knew from working at IKEA is a # TTC bus driver now. Doing a solid job on Route 66. Movin' on up @ TTChelps!;1
@ TTChelps Shout out to Steve - Dundas streetcar driver (~630pm, heading east) WE NEED MORE DRIVERS LIKE STEVE!! # ttc # payitforward # Toronto;1
Kudos to the conductor of train 6544 politely reminding folks to not jam doors he had to reset. I would not have been polite. # TTC @ TTChelps;1
Good morning & happy Saturday! @ TTChelps is now signed in & ready to answer all your # TTC questions. ^KA pic.twitter.com/xbaaq3ygsm;1
@ bradTTC I'm one that appreciates the work # ttc is putting in to fix and upgrade the subways and transit. It's going to be worth!;1
. @ madburdock @ TTChelps Thank you for confirming your comfort is more important than the safe operation of a # TTC vehicle! # Transit # Toronto;1
When you are a # TTC # bus # driver and you need to deal with a lost # dog passenger. Good job! @ TTCnotices @ TTChelps # Toronto will postVidL8rpic.twitter.com/n68hTpReqM;1
Really glad that # TTC finally fixed the air conditioning in the subway trains. Hope they stay working through the summer. @ TTChelps;1
@ TTChelps operator of bus 9005 NB on Dufferin doing an excellent job managing the heavy passenger load. Great # CustomerService # ttc;1
the 54E driver (7458) is one of the best. I that she always looks for ppl trying 2 X & w8s 4 them. # safety @ TTChelps # simplythebest # ttc;1
"# TTC streetcar driver to car that didn't stop: Hey buddy, what are you doing?"" ... ""Don't be sorry, be safe!"" Kudos! @ TTChelps""";1
Thank you so much to the driver of bus 1059 for going way above & beyond to let me catch the bus. @ TTChelps # TTC # kindnessduringatoughweek;1
Always give a shout out when I can @ TTChelps. Route 97A bus 1685. Such a positive and happy driver. # ttc;1
To the violinist playing the Godfather theme in the subway, while wearing a captain's hat: marry me. # ttc # subwaymusic;1
Congrats! Love your # sketchingtheline poster. I haven't seen mine yet but it's out there! # watching # artintransit # ttc;1
@ TTChelps beyond impressed with how clean the TTC has been over the long weekend and today. Good job # TTC!;1
. @ JohnTory . @ TTChelps Why of all stns and days wasn't there crowd control at Union? Was very dangerous. # TTC # Toronto # TOPoli # Canada150;1
Yayyyyyyy # TTC is free this evening!!!! So take advantage of that this. # NewYearsEve evening my peeps & # besafe!!!! Thank you @ TTChelps;1
THANK YOU to all of the # TTC Employees working hard through New Year's Eve to get you out and back home again, safely. Extra thanks for the employees who do the big cleanup at the end of the night. Xoxox!!!;1
Home for the holidays? Spending time with friends and family? My @ TTCnotices members will be working 24/7 alongside our partners to keep the # TTC safe. Thank you to all the transit staff, @ TorontoComms & @ YorkRegionGovt first responders for your service and sacrifice.pic.twitter.com/pRoLlDTio4;1
Depression and suicide are not a joke. Lives are taken and others altered. Sending this message over the PA system showed a strong message that I hope this girl took to heart. Thank you. # TTC;1
The new subway stations at # YorkU reflect the sustained efforts of our community members, the # TTC and government officials at every level, who were committed to providing safe & reliable transportation options for our community. ~rl # TYSSE # FBF # ThankYou pic.twitter.com/cDLgDu2rVJ;1
Snow. Streetcar. Subway. Subway. School. Thank you for a smooth, safe morning commute, TTC! ( @ TTChelps # TTC);1
We make sure to say thank you! Our route on the 83 Jones / 501 Queen with my daughter has us hustling and bustling morning and afternoon to and from @ DukeofConnaught but never to crazy to not acknowledge # ttc drivers. pic.twitter.com/1Y5IItHXBR – bei Leslieville;1
This was years in the making. A big thank you to all who played a part in the Spadina Subway Extension and this crucial step forward for our regions transit system # GTA # TTC # Metrolinxpic.twitter.com/azkDQqnbJV;1
Thank you so much. It was truly a pleasure to work with you @ yorkuniversity! I enjoyed very much our chats and tours of the engineering marvel we built! # TTC # Line1Ext;1
Thank you # TTC for making my Monday morning more enjoyable. pic.twitter.com/mLG5MvFSo8 – bei Pioneer Village TTC station;1
Thank you, @ TTCnotices @ YRTViva for hosting a wonderful day. The huge turn-out of people of all ages to ride # PublicTransit & see the new # TTC stations, was wonderful to see. The live music & public art at VMC was splendid! # TTCTourists # YorkU # Vaughan # Torontohttps://twitter.com/YRTViva/status/942410551782727683 …;1
.Ok ride completed 42 mins on my stopwatch. That is just amazing! 40 mins to Vaughan without driving. Thank you # TTC free @ TTCnotices @ TTCing @ JohnTory;1
Thank you # ttc. Great add on to the subway. Got to yorkdale in under 8 minutes from york!;1
Very generous of the # TTC to make buses, streetcars and subways free on the least used day of the week. Nothing says thank you to the daily commuters like Free service on a day they are probably at home. # NewStations # Toronto;1
Ok. I'll leave my @ PRESTOcard at home tomorrow when I head out to check out the new stations and to get back home :) Awesome! Thank you # TTC @ TTChelps;1
@ TTChelps -- Travelled on TTC subway lines 1 & 2 for first time in two years. Great improvements across the system (facilities + trains upgraded!). *THANK YOU* for keeping me SAFE AND SOUND during the commute! (regardless of traffic, temperature or snow). # TTC;1
# ttc thank you so much for making it accessible for people with disabilities!;1
To the man driving TTC Special bus 8546 this morning thank you for turning your bus into a shelter after many buses were canceled and we were left/walking in the cold and providing information. # TTC;1
I have to be fair and square. # TTC might crash, be late, full of people, etc. But it helps me move around Toronto 24/7. Safely. A service like this, you don't find it everywhere. So thank you guys for having my back @ TTChelps;1
Thank you Sir. I look forward to working with you and strengthening the already strong partnership between the # TTC and # GoTransit;1
Thank you to the 87 # TTC bus driver #7735 who waited for me. I can’t run and he waited for me to reach the bus. @ TTChelps;1
# thankyou for all your work you have helped to make the # ttc @ TTChelps @ TTCnotices @ bradTTC better in every way imaginable and we appreciate it and are going to miss you when your gone.;1
Thank you to all the people rushing to work and yet still let students on the subway first. Even though it means they have to wait for 2 or 3 more subways before they can get on... # ttc;1
A big THANK YOU to everyone who came down and supported # TTC's Santa's Streetcar yesterday! You are helping children smile on # Christmas morning across the # GTA! # ToyMountain @ ToyMountain @ TorontoPolice @ TTCnoticespic.twitter.com/AzOv8tjt0J;1
.I don't live in Toronto (my hometown of Etobicoke) anymore but close enough here in @ TownOfMilton and I will miss Andy Byford...such a great hand at the helm of # TTC . Thank you for such steady leadership of a great transit system. https://twitter.com/bradTTC/status/933010403247968256 …;1
Thank you # TTC CEO Andy Byford for your 6 years of service to making transit happen in our city. Your work is appreciated. Best wishes in the public transit journey ahead!;1
Thank You Andy Byford! Definitely acknowledge the tough job and have seen good changes from your time here. # andybyford # TTC # TOpoli;1
Thank-you for your time and generosity! It is sure to be a great event! TTC staff to host inaugural Santa's Streetcar event in Toronto's Beach https://www.insidetoronto.com/whatson-story/7935486-ttc-staff-to-host-inaugural-santa-s-streetcar-event-in-toronto-s-beach/#.WhSR9koHzlk.twitter … # TTC # ToyMountain # TM2017 @ TTChelps;1
Thank you Andy Byford. You had a really difficult job when you came here and you made a BIG difference. You listened to and respected # TTC customers. It’s too bad to see you go but good luck. # ttc;1
Thank you for your efforts with the @ bradTTC @ TTChelps # TTC IN Toronto. Thank you for the five years with us and good luck In NYC to Andy Byford;1
I will miss Andy Byford dearly. Thank you for starting to change the # TTC 's culture. I hope this important work continues in your absence. Best of luck in New York. # transit # toronto # topoli;1
Really enjoyed listening to the # ttc recruitment process, thank you @ ACCESEmployment for the great speaker and webinar;1
Kindness at # TTC. The understansing driver made my day as I forgot my presto card today. Good people do exist. I paid later, but need the ride at that moment to get to work. Thank you # TTC !;1
This would be a great service improvement for the # TTC # getTOmoving Thank you!;1
Automatically-loading Presto card = pure bliss. Greatest early Christmas gift for the transit rider in your life # TTC # ThankYou # yyz # TOpoli;1
Yesterday evening I got from Metro Hall to Roncesvalles in 25 minutes! My toddler says thank you! # KingStreetPilot # ttc @ CityPlanTO;1
Woohoo! No longer have to boycott the # 504Streetcar ! Loving the # KingStreetPilot - Thank you for helping solve # Kingst congestion @ JohnTory. Finally a proud # Toronto # TTC moment.;1
This used to take 25 minutes on a good day. University to Strachan. Oh and we hit every red light too. Thank you # ttc. This is life changing. # Toronto # KingStreetPilotpic.twitter.com/7dA3IeMQZa;1
Thanks to Pattison @ OnestopMedia for the ad space throughout the # TTC starting today! Thank you for supporting # mentalhealth recovery in # Toronto! Visit http://progressplace.org to read the member stories being advertised!pic.twitter.com/E2tIxIJ5eF;1
Even though you are sometimes filthy and most times late - I love you # TTC for this campaign. Thank you! pic.twitter.com/QNBXoidl73;1
I would like to give a BIG thank you to my # TTC bus driver Ali for getting my lost wallet back to me!!;1
Thank you for your patience Toronto West # TTC commuters! With your cooperation we were able to finish construction ahead of schedule. pic.twitter.com/KH7w56YSbh;1
JohnTory: Thank you to # TTC for efforts to get this done sooner. Another example of 24/7 construction helping to #… http://ow.ly/pJuX30gdNsm;1
Thank you @ TTChelps for helping get my purse within an hour after I realized I left it on the bus. # ThankYou! # TTC;1
Thank you for trying to do the right thing. # TOpoli # TTC # ScarbTOhttps://twitter.com/JoshMatlow/status/924016992222265344 …;1
My weekend has been planned. Thank you # TTC and @ bradTTC;1
